gene,one,two
group_1652,0,0.91156462585034
group_1653,0,0.91156462585034
group_3179,0,0.91156462585034
group_3317,0,0.91156462585034
group_388,0,0.91156462585034
cbtA,0.983870967741935,0.0816326530612245
group_857,0,0.91156462585034
group_9868,0,0.91156462585034
group_193,0,0.904761904761905
group_3123,0.233870967741935,0.707482993197279
yeeU_2,0.975806451612903,0.0816326530612245
yeeU_1,0.975806451612903,0.0816326530612245
group_3948,0.975806451612903,0.0816326530612245
group_403,0.991935483870968,0.0680272108843537
group_442,0.991935483870968,0.0680272108843537
group_74,0.991935483870968,0.0680272108843537
group_3971,0.903225806451613,0.136054421768707
group_405,0.903225806451613,0.136054421768707
group_1654,0,0.891156462585034
group_1655,0,0.891156462585034
group_1656,0,0.891156462585034
group_1886,0,0.891156462585034
group_3185,0,0.891156462585034
group_373,0,0.891156462585034
oprF,0,0.891156462585034
group_375,0,0.891156462585034
group_376,0,0.891156462585034
group_868,0.362903225806452,0.585034013605442
group_99,0.774193548387097,0.238095238095238
group_1921,0.201612903225806,0.714285714285714
group_31,0.596774193548387,0.380952380952381
group_3936,0.943548387096774,0.0884353741496599
group_1834,0.991935483870968,0.0408163265306122
group_26,0.508064516129032,0.442176870748299
dinI_3,0.209677419354839,0.693877551020408
group_3181,0,0.863945578231292
group_827,0,0.863945578231292
group_23,0.830645161290323,0.156462585034014
oadG_2,0.782258064516129,0.19047619047619
group_1847,0.92741935483871,0.0612244897959184
group_4631,0.725806451612903,0.231292517006803
group_343,0.766129032258065,0.183673469387755
group_1657,0,0.82312925170068
group_1843,0.790322580645161,0.156462585034014
sseI,0.935483870967742,0.0340136054421769
dnaC_2,0.137096774193548,0.707482993197279
group_102,0.790322580645161,0.136054421768707
yedK,0.935483870967742,0.0136054421768707
group_3958,0.935483870967742,0.0136054421768707
group_4011,0.5,0.380952380952381
mrpA_2,0.5,0.380952380952381
group_1841,0.790322580645161,0.129251700680272
group_1842,0.790322580645161,0.129251700680272
group_3960,0.790322580645161,0.129251700680272
sodC1,0.790322580645161,0.129251700680272
group_3972,0.782258064516129,0.136054421768707
ail_4,0.790322580645161,0.129251700680272
group_1840,0.895161290322581,0.0340136054421769
group_106,0,0.775510204081633
group_4080,0,0.775510204081633
group_1844,0.758064516129032,0.129251700680272
group_1845,0.758064516129032,0.129251700680272
yadK,0,0.768707482993197
group_3126,0,0.768707482993197
htrE_2,0,0.768707482993197
focC_3,0,0.768707482993197
group_3129,0,0.768707482993197
group_3962,0.758064516129032,0.129251700680272
group_3963,0.758064516129032,0.129251700680272
group_3970,0.758064516129032,0.129251700680272
group_4079,0.483870967741935,0.360544217687075
group_789,0,0.768707482993197
group_790,0,0.768707482993197
group_3964,0.75,0.129251700680272
group_3965,0.75,0.129251700680272
group_3966,0.75,0.129251700680272
group_3967,0.75,0.129251700680272
group_3968,0.75,0.129251700680272
group_3969,0.75,0.129251700680272
oadG_3,0.806451612903226,0.0816326530612245
clpP1,0.75,0.129251700680272
group_1733,0.709677419354839,0.156462585034014
group_3032,0.709677419354839,0.156462585034014
group_915,0.443548387096774,0.380952380952381
group_1846,0.758064516129032,0.102040816326531
group_4155,0.346774193548387,0.448979591836735
ccmH,0.193548387096774,0.551020408163265
group_4112,0,0.707482993197279
group_4113,0,0.707482993197279
group_4642,0.725806451612903,0.0884353741496599
group_940,0.0483870967741935,0.659863945578231
group_66,0.508064516129032,0.26530612244898
group_938,0.0161290322580645,0.680272108843537
group_94,0.508064516129032,0.26530612244898
group_1542,0.5,0.26530612244898
group_4246,0.233870967741935,0.489795918367347
group_1884,0.0806451612903226,0.612244897959184
iolS,0.0806451612903226,0.612244897959184
group_936,0.129032258064516,0.564625850340136
group_519,0.193548387096774,0.503401360544218
group_22,0.25,0.442176870748299
group_257,0.193548387096774,0.489795918367347
group_1866,0.314516129032258,0.380952380952381
group_4003,0.766129032258065,0
group_4177,0.258064516129032,0.428571428571429
group_916,0.395161290322581,0.312925170068027
group_3975,0.741935483870968,0.00680272108843537
group_1165,0.193548387096774,0.462585034013605
group_120,0.193548387096774,0.462585034013605
group_259,0.193548387096774,0.462585034013605
group_2711,0.193548387096774,0.462585034013605
group_2712,0.193548387096774,0.462585034013605
group_2713,0.193548387096774,0.462585034013605
group_941,0.0806451612903226,0.557823129251701
group_517,0.17741935483871,0.462585034013605
group_3976,0.717741935483871,0
group_3977,0.717741935483871,0
group_1162,0.161290322580645,0.462585034013605
group_377,0.508064516129032,0.170068027210884
group_1849,0.701612903225806,0
group_3974,0.701612903225806,0
group_233,0.693548387096774,0
group_4078,0.233870967741935,0.380952380952381
group_3959,0.67741935483871,0
group_928,0.0403225806451613,0.530612244897959
group_984,0.120967741935484,0.462585034013605
group_917,0.604838709677419,0.0476190476190476
group_71,0.516129032258065,0.115646258503401
prsF_2,0.0403225806451613,0.510204081632653
group_52,0.193548387096774,0.380952380952381
group_920,0.451612903225806,0.136054421768707
group_981,0.193548387096774,0.353741496598639
group_1913,0.233870967741935,0.312925170068027
group_1914,0.233870967741935,0.312925170068027
group_4209,0.233870967741935,0.312925170068027
group_4272,0.0806451612903226,0.435374149659864
group_5429,0.17741935483871,0.353741496598639
group_935,0.241935483870968,0.299319727891156
ydjE_2,0,0.496598639455782
group_1634,0,0.496598639455782
group_224,0.233870967741935,0.299319727891156
group_2815,0,0.496598639455782
group_2816,0,0.496598639455782
group_2817,0,0.496598639455782
fbaA_2,0,0.496598639455782
gutB_5,0,0.496598639455782
ydjE_1,0,0.496598639455782
tdh_2,0,0.496598639455782
group_3113,0,0.496598639455782
group_4147,0,0.496598639455782
group_4208,0.233870967741935,0.299319727891156
group_1912,0.233870967741935,0.292517006802721
group_1987,0.483870967741935,0.0816326530612245
group_1993,0.161290322580645,0.353741496598639
yafN,0,0.489795918367347
group_3934,0.556451612903226,0.0204081632653061
group_4640,0.491935483870968,0.0748299319727891
group_4641,0.491935483870968,0.0748299319727891
relE_1,0,0.489795918367347
group_1124,0,0.476190476190476
group_1924,0.0483870967741935,0.435374149659864
group_1927,0.0483870967741935,0.435374149659864
group_1928,0.0483870967741935,0.435374149659864
group_513,0,0.476190476190476
group_561,0,0.476190476190476
group_980,0.145161290322581,0.353741496598639
group_1125,0,0.469387755102041
group_3456,0.411290322580645,0.122448979591837
group_426,0.153225806451613,0.340136054421769
group_4265,0.0483870967741935,0.428571428571429
group_501,0,0.469387755102041
ygbT,0,0.469387755102041
group_55,0,0.469387755102041
group_982,0.137096774193548,0.353741496598639
ybiI_2,0.193548387096774,0.292517006802721
group_2054,0.379032258064516,0.136054421768707
group_255,0.193548387096774,0.292517006802721
group_256,0.193548387096774,0.292517006802721
group_440,0.443548387096774,0.0816326530612245
group_4633,0.451612903225806,0.0748299319727891
dam_2,0.193548387096774,0.285714285714286
group_1890,0,0.448979591836735
group_2694,0.193548387096774,0.285714285714286
group_2695,0.193548387096774,0.285714285714286
group_2696,0.193548387096774,0.285714285714286
group_4639,0.443548387096774,0.0748299319727891
group_254,0,0.442176870748299
group_1915,0.169354838709677,0.292517006802721
oadG,0,0.435374149659864
group_1228,0.0483870967741935,0.387755102040816
group_1833,0.508064516129032,0
group_1918,0.153225806451613,0.299319727891156
group_1919,0.153225806451613,0.299319727891156
sohB_2,0.153225806451613,0.299319727891156
group_4214,0.153225806451613,0.299319727891156
group_4215,0.153225806451613,0.299319727891156
group_890,0.508064516129032,0
group_1217,0,0.421768707482993
adhE_4,0.00806451612903226,0.414965986394558
group_1916,0.153225806451613,0.292517006802721
group_1917,0.153225806451613,0.292517006802721
group_4212,0.153225806451613,0.292517006802721
group_979,0.0806451612903226,0.353741496598639
group_225,0.153225806451613,0.285714285714286
group_1017,0.451612903225806,0.0272108843537415
group_2109,0.451612903225806,0.0272108843537415
yopJ,0,0.408163265306122
group_2897,0,0.408163265306122
group_3133,0,0.408163265306122
group_3166,0,0.408163265306122
group_3167,0,0.408163265306122
group_3168,0,0.408163265306122
pliG,0.145161290322581,0.285714285714286
group_5470,0.451612903225806,0.0272108843537415
group_5471,0.451612903225806,0.0272108843537415
cfaB,0.451612903225806,0.0272108843537415
group_5474,0.451612903225806,0.0272108843537415
group_5475,0.451612903225806,0.0272108843537415
recT,0.0887096774193548,0.333333333333333
group_814,0,0.408163265306122
group_119,0.137096774193548,0.285714285714286
group_1994,0.0645161290322581,0.346938775510204
hin_2,0.137096774193548,0.285714285714286
group_3848,0.475806451612903,0
group_3849,0.475806451612903,0
group_3850,0.475806451612903,0
group_3851,0.475806451612903,0
group_3852,0.475806451612903,0
group_3853,0.467741935483871,0
group_1163,0.112903225806452,0.292517006802721
group_1348,0,0.387755102040816
group_2998,0,0.387755102040816
group_2999,0,0.387755102040816
group_3000,0,0.387755102040816
cfaE,0.451612903225806,0.00680272108843537
group_1707,0,0.380952380952381
group_1897,0,0.380952380952381
group_1902,0,0.380952380952381
qseF_2,0,0.380952380952381
rtcB_2,0,0.380952380952381
rsr,0,0.380952380952381
intS_2,0,0.380952380952381
group_4168,0,0.380952380952381
arsC,0,0.380952380952381
arsD,0,0.380952380952381
arsA,0,0.380952380952381
group_4172,0,0.380952380952381
group_4173,0,0.380952380952381
group_4179,0,0.380952380952381
group_4180,0,0.380952380952381
group_4181,0,0.380952380952381
group_4202,0,0.380952380952381
rtcA,0,0.380952380952381
group_4211,0.153225806451613,0.251700680272109
group_1719,0,0.374149659863946
group_1782,0,0.374149659863946
fim,0.314516129032258,0.108843537414966
coaA_1,0,0.374149659863946
yggD,0,0.374149659863946
yggF,0,0.374149659863946
group_4092,0,0.374149659863946
mtlA_2,0,0.374149659863946
cmtB,0,0.374149659863946
group_5468,0.443548387096774,0
group_201,0.0645161290322581,0.312925170068027
group_4210,0.153225806451613,0.238095238095238
group_4234,0,0.36734693877551
group_1161,0.0887096774193548,0.285714285714286
group_227,0.0645161290322581,0.306122448979592
group_4114,0,0.360544217687075
group_4165,0,0.360544217687075
group_4176,0,0.360544217687075
group_4203,0,0.360544217687075
yliI_2,0,0.360544217687075
yliI_1,0,0.360544217687075
group_427,0.0645161290322581,0.306122448979592
group_4276,0.0645161290322581,0.306122448979592
group_4277,0.0645161290322581,0.306122448979592
group_515,0.0806451612903226,0.292517006802721
group_925,0,0.360544217687075
group_947,0.0645161290322581,0.306122448979592
group_948,0.0645161290322581,0.306122448979592
dnaT_2,0.0645161290322581,0.299319727891156
group_949,0.0564516129032258,0.306122448979592
ddrA_4,0.0725806451612903,0.292517006802721
group_1700,0.0645161290322581,0.292517006802721
group_4131,0,0.346938775510204
group_4163,0,0.346938775510204
group_4164,0,0.346938775510204
group_1896,0,0.340136054421769
group_4279,0.0483870967741935,0.299319727891156
group_950,0.0483870967741935,0.299319727891156
group_4244,0.032258064516129,0.306122448979592
group_4278,0.0564516129032258,0.285714285714286
group_428,0.0564516129032258,0.285714285714286
group_4289,0.0483870967741935,0.292517006802721
group_1930,0.0483870967741935,0.285714285714286
group_4273,0.0483870967741935,0.285714285714286
group_5493,0.145161290322581,0.204081632653061
group_1736,0,0.319727891156463
group_1920,0.0967741935483871,0.238095238095238
group_226,0.0161290322580645,0.306122448979592
group_4005,0.274193548387097,0.0884353741496599
group_4006,0.274193548387097,0.0884353741496599
group_4007,0.274193548387097,0.0884353741496599
group_4008,0.274193548387097,0.0884353741496599
group_4009,0.274193548387097,0.0884353741496599
group_4010,0.274193548387097,0.0884353741496599
cbrB,0.233870967741935,0.122448979591837
group_910,0.274193548387097,0.0884353741496599
group_911,0.274193548387097,0.0884353741496599
sopE,0,0.319727891156463
group_946,0.0161290322580645,0.306122448979592
group_952,0.0725806451612903,0.258503401360544
group_110,0.0241935483870968,0.292517006802721
group_12,0.0967741935483871,0.231292517006803
group_1887,0,0.312925170068027
group_1958,0.032258064516129,0.285714285714286
group_4245,0,0.312925170068027
group_431,0.0483870967741935,0.272108843537415
group_4322,0,0.312925170068027
group_4378,0.032258064516129,0.285714285714286
group_4379,0.032258064516129,0.285714285714286
group_4380,0.032258064516129,0.285714285714286
group_4383,0.032258064516129,0.285714285714286
group_4384,0.032258064516129,0.285714285714286
group_76,0.032258064516129,0.285714285714286
group_943,0.00806451612903226,0.306122448979592
group_956,0.032258064516129,0.285714285714286
group_1936,0.0161290322580645,0.292517006802721
group_4150,0,0.306122448979592
group_429,0.0241935483870968,0.285714285714286
group_4382,0.032258064516129,0.27891156462585
group_1923,0,0.299319727891156
group_1925,0.032258064516129,0.272108843537415
group_1926,0.032258064516129,0.272108843537415
group_1931,0.0645161290322581,0.244897959183673
group_4247,0,0.299319727891156
group_4248,0,0.299319727891156
holE_1,0,0.299319727891156
group_4250,0,0.299319727891156
group_4251,0,0.299319727891156
group_4252,0,0.299319727891156
group_4253,0,0.299319727891156
group_4254,0,0.299319727891156
group_4255,0,0.299319727891156
group_4256,0,0.299319727891156
group_4257,0,0.299319727891156
group_4258,0,0.299319727891156
group_4259,0,0.299319727891156
group_4260,0,0.299319727891156
group_4261,0,0.299319727891156
group_4262,0,0.299319727891156
group_4263,0,0.299319727891156
group_4264,0,0.299319727891156
group_4267,0.032258064516129,0.272108843537415
group_4268,0.032258064516129,0.272108843537415
group_4270,0.032258064516129,0.272108843537415
group_4271,0.032258064516129,0.272108843537415
group_4303,0.0725806451612903,0.238095238095238
group_516,0.00806451612903226,0.292517006802721
group_944,0,0.299319727891156
group_1790,0,0.292517006802721
group_1900,0,0.292517006802721
group_1901,0,0.292517006802721
group_1903,0,0.292517006802721
group_1954,0.032258064516129,0.26530612244898
group_1955,0.032258064516129,0.26530612244898
group_1957,0.0241935483870968,0.272108843537415
group_4148,0,0.292517006802721
group_4154,0,0.292517006802721
group_4166,0,0.292517006802721
group_4373,0.032258064516129,0.26530612244898
group_4374,0.032258064516129,0.26530612244898
group_4375,0.032258064516129,0.26530612244898
group_4376,0.032258064516129,0.26530612244898
hcp1_2,0,0.292517006802721
group_1956,0.0241935483870968,0.26530612244898
group_4118,0,0.285714285714286
group_4371,0.032258064516129,0.258503401360544
group_4372,0.032258064516129,0.258503401360544
group_4377,0.0241935483870968,0.26530612244898
group_5505,0.338709677419355,0
group_5506,0.338709677419355,0
group_5507,0.338709677419355,0
group_954,0.112903225806452,0.19047619047619
group_1889,0,0.27891156462585
group_1932,0,0.27891156462585
dnaB_1,0,0.27891156462585
group_1939,0.032258064516129,0.251700680272109
group_1953,0.0241935483870968,0.258503401360544
group_4130,0,0.27891156462585
group_4280,0,0.27891156462585
group_4281,0,0.27891156462585
group_4282,0,0.27891156462585
group_4283,0,0.27891156462585
group_4284,0,0.27891156462585
group_4285,0,0.27891156462585
rusA_2,0,0.27891156462585
ybcO,0,0.27891156462585
group_4288,0,0.27891156462585
group_4293,0,0.27891156462585
group_5508,0.330645161290323,0
Int-Tn,0.032258064516129,0.251700680272109
group_107,0,0.272108843537415
group_1898,0,0.272108843537415
group_1899,0,0.272108843537415
group_1935,0.0483870967741935,0.231292517006803
group_1940,0.00806451612903226,0.26530612244898
group_2082,0.00806451612903226,0.26530612244898
group_2090,0.153225806451613,0.142857142857143
group_239,0,0.272108843537415
group_3122,0,0.272108843537415
group_352,0.0241935483870968,0.251700680272109
group_4115,0,0.272108843537415
group_4116,0,0.272108843537415
group_4117,0,0.272108843537415
queD_2,0,0.272108843537415
rapA_1,0,0.272108843537415
recQ_1,0,0.272108843537415
group_4122,0,0.272108843537415
group_4123,0,0.272108843537415
group_4124,0,0.272108843537415
group_4125,0,0.272108843537415
group_4126,0,0.272108843537415
group_4127,0,0.272108843537415
group_4128,0,0.272108843537415
group_4129,0,0.272108843537415
group_4132,0,0.272108843537415
group_4133,0,0.272108843537415
group_4134,0,0.272108843537415
group_4135,0,0.272108843537415
group_4136,0,0.272108843537415
group_4137,0,0.272108843537415
group_4138,0,0.272108843537415
group_4139,0,0.272108843537415
group_4140,0,0.272108843537415
faeE,0,0.272108843537415
group_4142,0,0.272108843537415
papB,0,0.272108843537415
group_4144,0,0.272108843537415
group_4145,0,0.272108843537415
group_4146,0,0.272108843537415
group_4149,0,0.272108843537415
group_4151,0,0.272108843537415
yafQ,0,0.272108843537415
dinJ,0,0.272108843537415
group_4160,0,0.272108843537415
yibH_1,0,0.272108843537415
yiaW,0,0.272108843537415
group_4174,0,0.272108843537415
group_4175,0,0.272108843537415
group_4178,0,0.272108843537415
group_4201,0,0.272108843537415
group_4230,0,0.272108843537415
group_4231,0,0.272108843537415
group_4235,0,0.272108843537415
group_4266,0,0.272108843537415
group_4269,0,0.272108843537415
group_4274,0.0483870967741935,0.231292517006803
group_4294,0.0403225806451613,0.238095238095238
group_4295,0.0403225806451613,0.238095238095238
group_4298,0.0483870967741935,0.231292517006803
group_4325,0.00806451612903226,0.26530612244898
caf1A_2,0,0.272108843537415
group_955,0.00806451612903226,0.26530612244898
ylcG,0.145161290322581,0.149659863945578
group_1941,0.00806451612903226,0.258503401360544
group_4152,0,0.26530612244898
group_419,0.112903225806452,0.170068027210884
group_4206,0,0.26530612244898
group_4243,0,0.26530612244898
group_4331,0.00806451612903226,0.258503401360544
group_4381,0.00806451612903226,0.258503401360544
group_5427,0,0.26530612244898
group_1942,0,0.258503401360544
group_4232,0,0.258503401360544
group_4233,0,0.258503401360544
group_4328,0.00806451612903226,0.251700680272109
group_4330,0,0.258503401360544
group_4386,0.0241935483870968,0.238095238095238
group_121,0.0887096774193548,0.17687074829932
group_1943,0,0.251700680272109
group_1952,0,0.251700680272109
group_2022,0.0161290322580645,0.238095238095238
group_4227,0.0161290322580645,0.238095238095238
group_4228,0.0161290322580645,0.238095238095238
group_430,0.00806451612903226,0.244897959183673
group_4323,0,0.251700680272109
group_4324,0,0.251700680272109
group_4326,0,0.251700680272109
group_4327,0,0.251700680272109
rusA_1,0,0.251700680272109
group_4333,0,0.251700680272109
group_4368,0,0.251700680272109
group_4370,0,0.251700680272109
group_4385,0,0.251700680272109
group_454,0.0806451612903226,0.183673469387755
group_5469,0.290322580645161,0.00680272108843537
group_983,0.0564516129032258,0.204081632653061
group_1893,0.0887096774193548,0.170068027210884
group_1894,0.0887096774193548,0.170068027210884
group_4226,0.00806451612903226,0.238095238095238
group_4236,0,0.244897959183673
group_924,0.0967741935483871,0.163265306122449
group_4275,0,0.238095238095238
group_4296,0,0.238095238095238
group_4369,0,0.238095238095238
group_876,0.209677419354839,0.0612244897959184
group_978,0.0806451612903226,0.170068027210884
group_108,0.25,0.0204081632653061
group_109,0.25,0.0204081632653061
group_17,0.129032258064516,0.122448979591837
group_1907,0.25,0.0204081632653061
group_1908,0.25,0.0204081632653061
group_1909,0.25,0.0204081632653061
group_1922,0,0.231292517006803
group_1929,0,0.231292517006803
group_1934,0,0.231292517006803
group_2136,0.25,0.0204081632653061
group_223,0.25,0.0204081632653061
icd_2,0.0967741935483871,0.149659863945578
group_4108,0.0967741935483871,0.149659863945578
group_4109,0.0967741935483871,0.149659863945578
group_4217,0,0.231292517006803
group_4218,0,0.231292517006803
group_4219,0,0.231292517006803
group_422,0.25,0.0204081632653061
group_4220,0,0.231292517006803
group_4221,0,0.231292517006803
group_4290,0,0.231292517006803
group_4291,0,0.231292517006803
group_4292,0,0.231292517006803
group_4297,0,0.231292517006803
group_4299,0,0.231292517006803
group_4300,0,0.231292517006803
group_4301,0,0.231292517006803
group_4302,0,0.231292517006803
group_4304,0,0.231292517006803
group_4305,0,0.231292517006803
group_4306,0,0.231292517006803
group_4307,0,0.231292517006803
group_8847,0.25,0.0204081632653061
group_929,0.25,0.0204081632653061
group_931,0.25,0.0204081632653061
group_933,0.25,0.0204081632653061
group_934,0.25,0.0204081632653061
group_1803,0.193548387096774,0.0612244897959184
group_1804,0.193548387096774,0.0612244897959184
group_1911,0.241935483870968,0.0204081632653061
group_2107,0.032258064516129,0.197278911564626
group_3830,0.193548387096774,0.0612244897959184
group_3831,0.193548387096774,0.0612244897959184
group_3835,0.193548387096774,0.0612244897959184
group_396,0.193548387096774,0.0612244897959184
group_4194,0.241935483870968,0.0204081632653061
group_423,0.241935483870968,0.0204081632653061
group_4238,0,0.224489795918367
dinI_4,0.0564516129032258,0.17687074829932
group_877,0.193548387096774,0.0612244897959184
group_930,0.241935483870968,0.0204081632653061
group_994,0.120967741935484,0.122448979591837
group_1867,0.258064516129032,0
yhdJ_1,0.0806451612903226,0.149659863945578
group_1995,0.0564516129032258,0.170068027210884
group_3832,0.193548387096774,0.054421768707483
group_4223,0,0.217687074829932
group_4224,0,0.217687074829932
group_4225,0,0.217687074829932
group_4229,0,0.217687074829932
group_69,0.00806451612903226,0.210884353741497
group_862,0.032258064516129,0.19047619047619
group_210,0.0161290322580645,0.197278911564626
group_2693,0.120967741935484,0.108843537414966
group_4387,0,0.210884353741497
group_4694,0.0483870967741935,0.170068027210884
group_4695,0.0483870967741935,0.170068027210884
group_4696,0.0483870967741935,0.170068027210884
group_4697,0.0483870967741935,0.170068027210884
group_4698,0.0483870967741935,0.170068027210884
group_5430,0.0403225806451613,0.17687074829932
group_5431,0.0403225806451613,0.17687074829932
group_1625,0,0.204081632653061
group_1626,0,0.204081632653061
group_2026,0.0806451612903226,0.136054421768707
group_2027,0.0806451612903226,0.136054421768707
group_203,0.0806451612903226,0.136054421768707
group_204,0.0806451612903226,0.136054421768707
group_3158,0,0.204081632653061
group_3159,0,0.204081632653061
group_3160,0,0.204081632653061
betC_1,0,0.204081632653061
group_3162,0,0.204081632653061
group_3163,0,0.204081632653061
group_43,0.0806451612903226,0.136054421768707
group_446,0.0806451612903226,0.136054421768707
group_4965,0.0806451612903226,0.136054421768707
group_4966,0.0806451612903226,0.136054421768707
group_4967,0.0806451612903226,0.136054421768707
group_6171,0.0806451612903226,0.136054421768707
yhcR,0,0.204081632653061
group_922,0.0725806451612903,0.142857142857143
group_993,0.0806451612903226,0.136054421768707
group_1503,0,0.197278911564626
group_1996,0,0.197278911564626
group_1997,0,0.197278911564626
noc,0.0806451612903226,0.129251700680272
xerC_2,0.0564516129032258,0.149659863945578
group_4693,0.0483870967741935,0.156462585034014
group_4701,0,0.197278911564626
group_4702,0,0.197278911564626
group_4703,0,0.197278911564626
group_4704,0,0.197278911564626
group_495,0,0.197278911564626
group_70,0.0645161290322581,0.142857142857143
umuC_2,0.0645161290322581,0.142857142857143
group_1016,0.00806451612903226,0.183673469387755
group_1663,0.0483870967741935,0.149659863945578
epsE_2,0.0483870967741935,0.149659863945578
group_1665,0.0483870967741935,0.149659863945578
group_1666,0.0483870967741935,0.149659863945578
group_1667,0.0483870967741935,0.149659863945578
group_1669,0.0483870967741935,0.149659863945578
group_1670,0.0483870967741935,0.149659863945578
group_1692,0.0483870967741935,0.149659863945578
group_1693,0.0483870967741935,0.149659863945578
group_1694,0.0483870967741935,0.149659863945578
group_1695,0.0483870967741935,0.149659863945578
group_1696,0.0483870967741935,0.149659863945578
group_1697,0.0483870967741935,0.149659863945578
group_198,0.0483870967741935,0.149659863945578
traC_2,0.0483870967741935,0.149659863945578
bfpB,0.0483870967741935,0.149659863945578
group_3194,0.0483870967741935,0.149659863945578
group_3198,0.0483870967741935,0.149659863945578
group_3261,0.0483870967741935,0.149659863945578
group_3262,0.0483870967741935,0.149659863945578
yggR_2,0.0483870967741935,0.149659863945578
group_3264,0.0483870967741935,0.149659863945578
pld,0.0483870967741935,0.149659863945578
group_3266,0.0483870967741935,0.149659863945578
group_3267,0.0483870967741935,0.149659863945578
group_3268,0.0483870967741935,0.149659863945578
group_3269,0.0483870967741935,0.149659863945578
group_3270,0.0483870967741935,0.149659863945578
group_3271,0.0483870967741935,0.149659863945578
group_3272,0.0483870967741935,0.149659863945578
group_3273,0.0483870967741935,0.149659863945578
hokA,0.0483870967741935,0.149659863945578
group_3280,0.0483870967741935,0.149659863945578
group_3281,0.0483870967741935,0.149659863945578
group_3284,0.0483870967741935,0.149659863945578
group_3285,0.0483870967741935,0.149659863945578
group_3825,0.0483870967741935,0.149659863945578
traI,0.0483870967741935,0.149659863945578
repA,0.0483870967741935,0.149659863945578
group_835,0.0483870967741935,0.149659863945578
group_840,0.0483870967741935,0.149659863945578
group_841,0.0483870967741935,0.149659863945578
group_842,0.0483870967741935,0.149659863945578
group_844,0.0483870967741935,0.149659863945578
group_977,0.185483870967742,0.0340136054421769
group_992,0.0645161290322581,0.136054421768707
group_1701,0,0.183673469387755
group_1702,0,0.183673469387755
group_1703,0,0.183673469387755
group_1705,0,0.183673469387755
group_1706,0,0.183673469387755
group_1718,0,0.183673469387755
group_199,0,0.183673469387755
group_200,0,0.183673469387755
group_229,0.153225806451613,0.054421768707483
group_230,0.153225806451613,0.054421768707483
group_262,0.0161290322580645,0.170068027210884
group_263,0,0.183673469387755
group_2716,0,0.183673469387755
group_2797,0,0.183673469387755
group_3274,0.0483870967741935,0.142857142857143
group_3295,0,0.183673469387755
group_3296,0,0.183673469387755
group_3297,0,0.183673469387755
mltD_1,0,0.183673469387755
group_3299,0,0.183673469387755
group_3300,0,0.183673469387755
group_3301,0,0.183673469387755
group_3303,0,0.183673469387755
group_3304,0,0.183673469387755
group_4195,0.201612903225806,0.0136054421768707
group_432,0.153225806451613,0.054421768707483
group_433,0.153225806451613,0.054421768707483
group_4403,0.209677419354839,0.00680272108843537
group_4418,0.153225806451613,0.054421768707483
group_4969,0.0645161290322581,0.129251700680272
group_514,0.0887096774193548,0.108843537414966
group_5434,0,0.183673469387755
group_843,0.0403225806451613,0.149659863945578
group_847,0,0.183673469387755
group_848,0,0.183673469387755
group_959,0.201612903225806,0.0136054421768707
group_961,0.153225806451613,0.054421768707483
group_962,0.153225806451613,0.054421768707483
group_963,0.153225806451613,0.054421768707483
group_1678,0.0483870967741935,0.136054421768707
group_1691,0.0403225806451613,0.142857142857143
group_1698,0.0483870967741935,0.136054421768707
group_1938,0.0161290322580645,0.163265306122449
group_1964,0.153225806451613,0.0476190476190476
group_221,0.104838709677419,0.0884353741496599
group_2714,0.0806451612903226,0.108843537414966
umuD_3,0.0403225806451613,0.142857142857143
group_3222,0.0403225806451613,0.142857142857143
group_3302,0,0.17687074829932
group_4110,0,0.17687074829932
group_4320,0.0161290322580645,0.163265306122449
group_4321,0.0161290322580645,0.163265306122449
group_4329,0,0.17687074829932
group_4419,0.153225806451613,0.0476190476190476
group_4420,0.153225806451613,0.0476190476190476
group_4421,0.153225806451613,0.0476190476190476
group_520,0.0806451612903226,0.108843537414966
group_5428,0,0.17687074829932
group_5432,0,0.17687074829932
group_5433,0,0.17687074829932
group_5435,0,0.17687074829932
group_846,0.0645161290322581,0.122448979591837
group_964,0.153225806451613,0.0476190476190476
group_965,0.153225806451613,0.0476190476190476
group_170,0,0.170068027210884
group_1704,0,0.170068027210884
psiB,0.0483870967741935,0.129251700680272
group_1963,0.153225806451613,0.0408163265306122
group_3332,0.0483870967741935,0.129251700680272
group_424,0.0887096774193548,0.0952380952380952
group_4700,0,0.170068027210884
group_4705,0,0.170068027210884
group_4706,0,0.170068027210884
group_4707,0,0.170068027210884
group_4968,0.0483870967741935,0.129251700680272
group_195,0.032258064516129,0.136054421768707
group_212,0.137096774193548,0.0476190476190476
group_3211,0.032258064516129,0.136054421768707
group_3217,0.0241935483870968,0.142857142857143
group_3218,0.0241935483870968,0.142857142857143
parM,0.0241935483870968,0.142857142857143
group_3220,0.0241935483870968,0.142857142857143
group_5080,0.0403225806451613,0.129251700680272
group_5081,0.0403225806451613,0.129251700680272
group_5082,0.0403225806451613,0.129251700680272
group_5083,0.0403225806451613,0.129251700680272
group_834,0.032258064516129,0.136054421768707
group_958,0.17741935483871,0.0136054421768707
group_122,0.0483870967741935,0.115646258503401
yfdG_2,0.0403225806451613,0.122448979591837
group_1892,0,0.156462585034014
group_3275,0.0403225806451613,0.122448979591837
group_443,0.104838709677419,0.0680272108843537
group_8000,0,0.156462585034014
group_1010,0.0161290322580645,0.136054421768707
